reason,machine,breakTime,nextBreak
Heat check,01M,02-01-2019 06:38:24,02-01-2019 06:40:28
Heat check,01M,02-01-2019 06:40:28,02-01-2019 06:50:40
Machine Breakdown,01M,02-01-2019 06:50:40,02-01-2019 07:15:47
Heat check,01M,02-01-2019 07:15:47,02-01-2019 09:05:21
Heat check,01M,02-01-2019 09:05:21,02-01-2019 09:33:47
Heat check,01M,02-01-2019 09:33:47,02-01-2019 09:45:15
Heat check,01M,02-01-2019 09:45:15,02-01-2019 10:11:47
Heat check,01M,02-01-2019 10:11:47,02-01-2019 10:14:49
Heat check,01M,02-01-2019 10:14:49,02-01-2019 11:41:21
Heat check,01M,02-01-2019 11:41:21,02-01-2019 11:56:16
Machine Breakdown,01M,02-01-2019 11:56:16,02-01-2019 12:04:18
Heat check,01M,02-01-2019 12:04:18,02-01-2019 13:29:02
Heat check,01M,02-01-2019 13:29:02,02-01-2019 14:11:20
Heat check,01M,02-01-2019 14:11:20,02-01-2019 14:57:35
Heat check,01M,02-01-2019 14:57:35,02-01-2019 15:05:23
Machine Breakdown,01M,02-01-2019 15:05:23,02-01-2019 15:41:32
Machine Breakdown,01M,02-01-2019 15:41:32,02-01-2019 15:42:25
Heat check,01M,02-01-2019 15:42:25,02-01-2019 15:46:22
Heat check,01M,02-01-2019 15:46:22,02-01-2019 15:46:40
Machine Breakdown,01M,02-01-2019 15:46:40,02-01-2019 16:39:16
Machine Breakdown,01M,02-01-2019 16:39:16,02-01-2019 16:41:59
Heat check,01M,02-01-2019 16:41:59,02-01-2019 17:31:57
Machine Breakdown,01M,02-01-2019 17:31:57,02-01-2019 17:37:53
Heat check,01M,02-01-2019 17:37:53,02-01-2019 17:49:04
Heat check,01M,02-01-2019 17:49:04,02-01-2019 18:26:10
Machine Breakdown,01M,02-01-2019 18:26:10,02-01-2019 19:05:22
Machine Breakdown,01M,02-01-2019 19:05:22,02-01-2019 20:00:33
Machine Breakdown,01M,02-01-2019 20:00:33,03-01-2019 06:00:53
Machine Breakdown,01M,03-01-2019 06:00:53,03-01-2019 06:01:00
Machine Breakdown,01M,03-01-2019 06:01:00,03-01-2019 06:03:07
Machine Breakdown,01M,03-01-2019 06:03:07,03-01-2019 06:03:14
Machine Breakdown,01M,03-01-2019 06:03:14,03-01-2019 06:25:40
Machine Breakdown,01M,03-01-2019 06:25:40,03-01-2019 06:31:59
Heat check,01M,03-01-2019 06:31:59,03-01-2019 08:11:56
Heat check,01M,03-01-2019 08:11:56,03-01-2019 09:20:12
Machine Breakdown,01M,03-01-2019 09:20:12,03-01-2019 09:56:45
Heat check,01M,03-01-2019 09:56:45,03-01-2019 10:43:32
Machine Breakdown,01M,03-01-2019 10:43:32,03-01-2019 12:16:51
Heat check,01M,03-01-2019 12:16:51,03-01-2019 14:50:10
Machine Breakdown,01M,03-01-2019 14:50:10,03-01-2019 15:08:11
Heat check,01M,03-01-2019 15:08:11,03-01-2019 16:04:46
Machine Breakdown,01M,03-01-2019 16:04:46,03-01-2019 16:12:00
Machine Breakdown,01M,03-01-2019 16:12:00,03-01-2019 18:32:21
Machine Breakdown,01M,03-01-2019 18:32:21,03-01-2019 18:59:00
Heat check,01M,03-01-2019 18:59:00,04-01-2019 06:03:15
Machine Breakdown,01M,04-01-2019 06:03:15,04-01-2019 06:03:23
Machine Breakdown,01M,04-01-2019 06:03:23,04-01-2019 06:20:47
Machine Breakdown,01M,04-01-2019 06:20:47,04-01-2019 06:23:30
Machine Breakdown,01M,04-01-2019 06:23:30,04-01-2019 06:49:48
Machine Breakdown,01M,04-01-2019 06:49:48,04-01-2019 07:08:10
Heat check,01M,04-01-2019 07:08:10,04-01-2019 08:10:10
Machine Breakdown,01M,04-01-2019 08:10:10,04-01-2019 11:29:55
Machine Breakdown,01M,04-01-2019 11:29:55,04-01-2019 12:32:38
Heat check,01M,04-01-2019 12:32:38,04-01-2019 12:38:51
Machine Breakdown,01M,04-01-2019 12:38:51,04-01-2019 12:55:54
Heat check,01M,04-01-2019 12:55:54,04-01-2019 14:12:22
Machine Breakdown,01M,04-01-2019 14:12:22,04-01-2019 14:51:19
Heat check,01M,04-01-2019 14:51:19,04-01-2019 15:07:22
Heat check,01M,04-01-2019 15:07:22,04-01-2019 16:20:13
Machine Breakdown,01M,04-01-2019 16:20:13,04-01-2019 17:20:26
Heat check,01M,04-01-2019 17:20:26,04-01-2019 17:34:21
Machine Breakdown,01M,04-01-2019 17:34:21,04-01-2019 17:45:33
Heat check,01M,04-01-2019 17:45:33,04-01-2019 18:23:18
Heat check,01M,04-01-2019 18:23:18,04-01-2019 19:52:38
Machine Breakdown,01M,04-01-2019 19:52:38,05-01-2019 06:13:27
Heat check,01M,05-01-2019 06:13:27,05-01-2019 06:27:44
